epoch_count,regression_error,classification_error
586,0.116274,0.184211
587,0.115573,0.210526
588,0.119143,0.157895
589,0.122938,0.0789474
590,0.128285,0.131579
591,0.132348,0.210526
592,0.137813,0.368421
593,0.129789,0.131579
594,0.135585,0.342105
595,0.127878,0.0526316
596,0.122026,0.0526316
597,0.120702,0.0526316
598,0.117126,0.157895
599,0.121046,0.0526316
600,0.126196,0.0526316
601,0.130769,0.157895
602,0.124891,0.0263158
603,0.120232,0.105263
604,0.124357,0.0263158
605,0.127981,0.0526316
606,0.125907,0.0526316
607,0.121042,0.0526316
608,0.126336,0.0526316
609,0.132172,0.157895
610,0.12583,0.0526316
611,0.120857,0.105263
612,0.124328,0.0263158
613,0.120069,0.131579
614,0.117058,0.184211
615,0.115945,0.184211
616,0.115087,0.210526
617,0.118233,0.157895
618,0.115322,0.184211
619,0.119285,0.131579
620,0.123749,0.0263158
621,0.122212,0.0789474
622,0.126775,0.0526316
623,0.13055,0.157895
624,0.134638,0.289474
625,0.140763,0.421053
626,0.146331,0.421053
627,0.136914,0.342105
628,0.142484,0.421053
629,0.147023,0.421053
630,0.137804,0.342105
631,0.143661,0.421053
632,0.135408,0.236842
633,0.128504,0.0526316
634,0.123013,0.0526316
635,0.119017,0.157895
636,0.117504,0.157895
637,0.114503,0.210526
638,0.117473,0.157895
639,0.114724,0.184211
640,0.113061,0.210526
641,0.111929,0.236842
642,0.111338,0.263158
643,0.111497,0.263158
644,0.110877,0.263158
645,0.111305,0.263158
646,0.11166,0.263158
647,0.111268,0.263158
648,0.110434,0.263158
649,0.110078,0.263158
650,0.110303,0.236842
651,0.11154,0.210526
652,0.110485,0.236842
653,0.111983,0.210526
654,0.110833,0.236842
655,0.110386,0.263158
656,0.109855,0.263158
657,0.110865,0.210526
658,0.110029,0.236842
659,0.111245,0.210526
660,0.113175,0.184211
661,0.111382,0.210526
662,0.11377,0.184211
663,0.117383,0.105263
664,0.12054,0.0789474
665,0.125777,0.0526316
666,0.130769,0.157895
667,0.136819,0.342105
668,0.141234,0.421053
669,0.14642,0.421053
670,0.153169,0.421053
671,0.149401,0.421053
672,0.138824,0.368421
673,0.136002,0.342105
674,0.142025,0.421053
675,0.147866,0.421053
676,0.138432,0.368421
677,0.129922,0.157895
678,0.12749,0.131579
679,0.125773,0.131579
680,0.130841,0.210526
681,0.128836,0.157895
682,0.122365,0.0526316
683,0.127536,0.157895
684,0.132738,0.289474
685,0.130547,0.210526
686,0.123905,0.0526316
687,0.122475,0.0526316
688,0.117392,0.0526316
689,0.116339,0.0789474
690,0.115362,0.105263
691,0.112335,0.157895
692,0.11181,0.157895
693,0.114747,0.131579
694,0.111815,0.157895
695,0.11134,0.184211
696,0.110902,0.184211
697,0.114107,0.131579
698,0.111148,0.184211
699,0.110764,0.184211
700,0.114084,0.131579
701,0.11104,0.184211
702,0.109161,0.210526
703,0.10896,0.210526
704,0.110802,0.184211
705,0.110556,0.184211
706,0.113212,0.157895
707,0.110417,0.184211
708,0.113191,0.157895
709,0.110452,0.184211
710,0.108641,0.210526
711,0.107598,0.236842
712,0.107106,0.236842
713,0.106951,0.236842
714,0.10788,0.210526
715,0.107618,0.210526
716,0.106951,0.236842
717,0.106789,0.236842
718,0.107847,0.210526
719,0.109623,0.184211
720,0.112174,0.157895
721,0.115482,0.0526316
722,0.111892,0.157895
723,0.115111,0.0526316
724,0.119877,0.0526316
725,0.115377,0.0526316
726,0.111917,0.157895
727,0.11126,0.157895
728,0.114351,0.0789474
729,0.11863,0.0263158
730,0.123602,0.131579
731,0.127479,0.157895
732,0.133119,0.342105
733,0.138939,0.421053
734,0.1364,0.368421
735,0.141697,0.421053
736,0.146681,0.421053
737,0.136908,0.368421
738,0.128867,0.210526
739,0.122289,0.0526316
740,0.127239,0.157895
741,0.125117,0.157895
742,0.119054,0.0526316
743,0.114632,0.0789474
744,0.1193,0.0526316
745,0.114808,0.0789474
746,0.111825,0.157895
747,0.109546,0.210526
748,0.108126,0.210526
749,0.107491,0.210526
750,0.106826,0.236842
751,0.107827,0.210526
752,0.109766,0.184211
753,0.108177,0.210526
754,0.10752,0.210526
755,0.107014,0.210526
756,0.108456,0.210526
757,0.111538,0.157895
758,0.110588,0.157895
759,0.109788,0.157895
760,0.107825,0.210526
761,0.106456,0.210526
762,0.10613,0.210526
763,0.107835,0.210526
764,0.106434,0.210526
765,0.105788,0.210526
766,0.105502,0.236842
767,0.106551,0.210526
768,0.108919,0.157895
769,0.112007,0.131579
770,0.111404,0.131579
771,0.108781,0.184211
772,0.110778,0.157895
773,0.113831,0.0789474
774,0.118192,0.0526316
775,0.122645,0.131579
776,0.127165,0.210526
777,0.120698,0.0526316
778,0.125879,0.157895
779,0.119607,0.0526316
780,0.118362,0.0526316
781,0.116899,0.0526316
782,0.115954,0.0789474
783,0.111983,0.105263
784,0.116203,0.0789474
785,0.1119,0.105263
786,0.108872,0.157895
787,0.11154,0.131579
788,0.108605,0.157895
789,0.106941,0.210526
790,0.106392,0.210526
791,0.105946,0.210526
792,0.105635,0.210526
793,0.107378,0.184211
794,0.106953,0.184211
795,0.105535,0.210526
796,0.10741,0.184211
797,0.110259,0.157895
798,0.107968,0.157895
799,0.106201,0.210526
800,0.105217,0.210526
801,0.106446,0.210526
802,0.108737,0.157895
803,0.107842,0.157895
804,0.106156,0.210526
805,0.109175,0.157895
806,0.113256,0.0526316
807,0.109668,0.157895
808,0.113042,0.0526316
809,0.115822,0.0526316
810,0.111538,0.0789474
811,0.108598,0.157895
812,0.11179,0.0789474
813,0.108863,0.157895
814,0.106707,0.210526
815,0.109244,0.157895
816,0.11244,0.0789474
817,0.109418,0.157895
818,0.107268,0.184211
819,0.105536,0.210526
820,0.104833,0.210526
821,0.104436,0.210526
822,0.104175,0.236842
823,0.104212,0.263158
824,0.104214,0.236842
825,0.103945,0.236842
826,0.103792,0.236842
827,0.103609,0.236842
828,0.104093,0.210526
829,0.103652,0.236842
830,0.104291,0.210526
831,0.103824,0.210526
832,0.103782,0.236842
833,0.103962,0.263158
834,0.103875,0.236842
835,0.103475,0.236842
836,0.104145,0.210526
837,0.105499,0.210526
838,0.104203,0.210526
839,0.10581,0.184211
840,0.104518,0.210526
841,0.103943,0.210526
842,0.103426,0.210526
843,0.104407,0.210526
844,0.106389,0.157895
845,0.105799,0.157895
846,0.108447,0.157895
847,0.11251,0.0789474
848,0.116296,0.0526316
849,0.120831,0.131579
850,0.125911,0.184211
851,0.123767,0.157895
852,0.12758,0.236842
853,0.125304,0.210526
854,0.118585,0.0526316
855,0.11688,0.0526316
856,0.121362,0.157895
857,0.115414,0.0526316
858,0.110562,0.0526316
859,0.1143,0.0789474
860,0.118575,0.0526316
861,0.113515,0.0789474
862,0.117808,0.0526316
863,0.122038,0.131579
864,0.120043,0.131579
865,0.114286,0.0789474
866,0.119196,0.0789474
867,0.123478,0.157895
868,0.128547,0.236842
869,0.134389,0.368421
870,0.125398,0.157895
871,0.118591,0.0526316
872,0.113488,0.0789474
873,0.109653,0.131579
874,0.108745,0.157895
875,0.107748,0.157895
876,0.106904,0.157895
877,0.106093,0.157895
878,0.105468,0.157895
879,0.107941,0.131579
880,0.107331,0.157895
881,0.110241,0.0789474
882,0.114449,0.0526316
883,0.118885,0.131579
884,0.113043,0.0789474
885,0.117304,0.0526316
886,0.122206,0.157895
887,0.120291,0.131579
888,0.114059,0.0526316
889,0.112861,0.0263158
890,0.108726,0.0789474
891,0.107977,0.105263
892,0.112016,0.0789474
893,0.115866,0.0526316
894,0.120813,0.157895
895,0.124358,0.210526
896,0.122511,0.157895
897,0.121065,0.157895
898,0.114943,0.0526316
899,0.110263,0.0789474
900,0.112888,0.0263158
901,0.118643,0.131579
902,0.124322,0.210526
903,0.129743,0.315789
904,0.134703,0.368421
905,0.139216,0.421053
906,0.136017,0.394737
907,0.133475,0.368421
908,0.13717,0.421053
909,0.127924,0.315789
910,0.120427,0.157895
911,0.119007,0.131579
912,0.117558,0.131579
913,0.122748,0.184211
914,0.120891,0.157895
915,0.127026,0.289474
916,0.119476,0.157895
917,0.113508,0.0526316
918,0.10893,0.0789474
919,0.112646,0.0526316
920,0.111113,0.0789474
921,0.116625,0.0789474
922,0.111365,0.0789474
923,0.116007,0.0789474
924,0.114645,0.0526316
925,0.117729,0.131579
